食品番号,索引番号,食品名,廃棄率(%),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食物繊維総量(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg),レチノール(μg),αーカロテン(μg),βーカロテン(μg),βークリプトキサンチン(μg),βーカロテン当量(μg),レチノール活性当量(μg),ビタミンD(μg),αートコフェロール(mg),βートコフェロール(mg),γートコフェロール(mg),δートコフェロール(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン当量(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),食塩相当量g,備考
1010,11,おおむぎ　麦こがし,0,368,3.5,12.5,5.0,77.1,15.5,2.0,490.0,43.0,130.0,340.0,3.1,3.8,0.41,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2,0.0,0.0,0.09,0.1,11.0,0.09,0.0,24.0,0.28,0.0,0.0,0.0,別名： こうせん、はったい粉
1167,12,キヌア　玄穀,0,344,12.2,13.4,3.2,69.0,6.2,35.0,580.0,46.0,180.0,410.0,4.3,2.8,0.47,2.45,2.0,3.0,3.0,23.0,0.0,0.0,11.0,1.0,12.0,1.0,0.0,2.6,0.1,4.0,0.1,0.0,0.45,0.24,4.0,0.39,0.0,190.0,0.95,23.0,0.0,0.1,
1011,13,きび　精白粒,0,353,13.8,11.3,3.3,70.9,1.6,2.0,200.0,9.0,84.0,160.0,2.1,2.7,0.38,0.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.34,0.09,6.2,0.2,0.0,13.0,0.95,7.9,0.0,0.0,"うるち、もちを含む
歩留り： 70～80 %"
1012,14,こむぎ　［玄穀］　国産　普通,0,329,12.5,10.8,3.1,72.1,14.0,2.0,440.0,26.0,82.0,350.0,3.2,2.6,0.38,3.9,1.0,3.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.41,0.09,8.9,0.35,0.0,38.0,1.03,7.5,0.0,0.0,食物繊維：AOAC2011.25法
1013,15,こむぎ　［玄穀］　輸入　軟質,0,344,10.0,10.1,3.3,75.2,11.2,2.0,390.0,36.0,110.0,290.0,2.9,1.7,0.32,3.79,0.0,5.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.49,0.09,6.7,0.34,0.0,40.0,1.07,9.6,0.0,0.0,
1014,16,こむぎ　［玄穀］　輸入　硬質,0,332,13.0,13.0,3.0,69.4,11.4,2.0,340.0,26.0,140.0,320.0,3.2,3.1,0.43,4.09,0.0,54.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.35,0.09,8.0,0.34,0.0,49.0,1.29,11.0,0.0,0.0,
1015,17,こむぎ　［小麦粉］　薄力粉　1等,0,349,14.0,8.3,1.5,75.8,2.5,0.0,110.0,20.0,12.0,60.0,0.5,0.3,0.08,0.43,0.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.11,0.03,2.4,0.03,0.0,9.0,0.53,1.2,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1016,18,こむぎ　［小麦粉］　薄力粉　2等,0,345,14.0,9.3,1.9,74.3,2.6,0.0,130.0,23.0,30.0,77.0,0.9,0.7,0.18,0.77,0.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.21,0.04,2.9,0.09,0.0,14.0,0.62,2.5,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1018,19,こむぎ　［小麦粉］　中力粉　1等,0,337,14.0,9.0,1.6,75.1,2.8,1.0,100.0,17.0,18.0,64.0,0.5,0.5,0.11,0.43,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.03,2.4,0.05,0.0,8.0,0.47,1.5,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1019,20,こむぎ　［小麦粉］　中力粉　2等,0,346,14.0,9.7,1.8,74.0,2.1,1.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,0.77,0.0,7.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.22,0.04,3.1,0.07,0.0,12.0,0.66,2.6,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1020,21,こむぎ　［小麦粉］　強力粉　1等,0,337,14.5,11.8,1.5,71.7,2.7,0.0,89.0,17.0,23.0,64.0,0.9,0.8,0.15,0.32,0.0,39.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.09,0.04,3.1,0.06,0.0,16.0,0.77,1.7,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1021,22,こむぎ　［小麦粉］　強力粉　2等,0,343,14.5,12.6,1.7,70.6,2.1,0.0,86.0,21.0,36.0,86.0,1.0,1.0,0.19,0.58,0.0,49.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.13,0.04,3.6,0.08,0.0,18.0,0.93,2.6,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1023,23,こむぎ　［小麦粉］　強力粉　全粒粉,0,320,14.5,12.8,2.9,68.2,11.2,2.0,330.0,26.0,140.0,310.0,3.1,3.0,0.42,4.02,0.0,47.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.34,0.09,8.5,0.33,0.0,48.0,1.27,11.0,0.0,0.0,(100 g： 182 mL、100 mL：55 g)
1146,24,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,0,335,9.8,10.1,1.9,73.6,2.8,1400.0,210.0,64.0,31.0,320.0,1.0,0.7,0.13,0.92,1400.0,8.0,3.0,15.0,0.0,0.0,7.0,1.0,8.0,1.0,0.1,0.6,0.3,0.2,0.0,1.0,0.21,0.03,3.3,0.07,0.1,17.0,0.41,2.4,0.0,3.7,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g 
(100 g： 182 mL、100 mL：55 g)"
1024,25,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,0,360,11.1,7.8,4.0,74.4,1.8,390.0,230.0,100.0,12.0,170.0,0.5,0.3,0.07,0.0,0.0,3.0,5.0,11.0,9.0,0.0,0.0,0.0,3.0,9.0,0.1,0.5,0.1,0.3,0.1,1.0,0.1,0.08,2.2,0.04,0.1,10.0,0.48,1.5,0.0,1.0,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g
(100 g： 182 mL、100 mL：55 g)"
1147,26,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,0,311,8.3,10.2,1.2,70.0,2.6,3800.0,280.0,110.0,39.0,130.0,1.2,0.7,0.1,0.96,1.0,6.0,6.0,23.0,0.0,2.0,39.0,31.0,56.0,5.0,0.0,0.3,0.2,0.1,0.0,2.0,0.15,0.07,2.8,0.12,0.0,26.0,0.33,4.3,0.0,9.7,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g　
β-カロテン： 着色料として添加 
(100 g： 182 mL、100 mL：55 g)"
1025,27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,0,337,12.4,8.8,1.3,76.1,2.5,210.0,160.0,140.0,19.0,120.0,0.6,0.5,0.12,0.62,1.0,3.0,2.0,10.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.3,0.2,0.0,0.0,0.0,0.12,0.99,2.7,0.06,0.0,12.0,0.35,1.3,0.0,0.5,"β-カロテン及びビタミンB2無添加のもの
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g 
(100 g： 182 mL、100 mL：55 g)
"
1171,28,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,0,132,65.5,3.3,0.5,30.2,1.9,64.0,67.0,84.0,6.0,51.0,0.2,0.1,0.04,0.2,1.0,1.0,1.0,3.0,0.0,0.0,39.0,0.0,39.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,0.04,0.16,1.0,0.02,0.0,3.0,0.19,0.5,0.0,0.2,"天ぷら粉39、水61
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g
食物繊維：AOAC2011.25法"
1172,29,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,0,588,10.2,4.3,47.7,37.0,3.3,79.0,93.0,100.0,8.0,63.0,0.3,0.1,0.04,0.26,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.6,0.1,17.0,0.5,81.0,0.05,0.14,1.3,0.03,0.0,4.0,0.21,0.7,0.0,0.2,"別名： 揚げ玉、天かす
植物油（なたね油）
調理による脂質の増減：第1章表13参照
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g
食物繊維：AOAC2011.25法"
1026,30,こむぎ　［パン類］　角形食パン　食パン,0,248,39.2,8.9,4.1,46.4,4.2,470.0,86.0,22.0,18.0,67.0,0.5,0.5,0.09,0.25,1.0,22.0,1.0,15.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.4,0.1,0.3,0.1,0.0,0.07,0.05,2.6,0.03,0.0,30.0,0.42,2.3,0.0,1.2,食物繊維：AOAC2011.25法
1174,31,こむぎ　［パン類］　角形食パン　焼き,0,269,33.6,9.7,4.5,50.6,4.6,520.0,93.0,26.0,20.0,77.0,0.5,0.6,0.1,0.28,1.0,25.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.3,0.1,0.0,0.07,0.05,2.9,0.03,0.0,30.0,0.45,2.2,0.0,1.3,食物繊維：AOAC2011.25法
1175,32,こむぎ　［パン類］　角形食パン　耳を除いたもの,45,226,44.2,8.2,3.7,42.6,3.8,440.0,78.0,20.0,16.0,61.0,0.4,0.4,0.08,0.23,1.0,20.0,1.0,12.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.3,0.0,0.3,0.1,0.0,0.06,0.05,2.5,0.04,0.0,17.0,0.3,2.2,0.0,1.1,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
別名：サンドイッチ用食パン
食物繊維：AOAC2011.25法"
1176,33,こむぎ　［パン類］　角形食パン　耳,55,273,33.5,9.7,4.5,50.8,4.7,510.0,92.0,23.0,18.0,73.0,0.5,0.6,0.1,0.27,1.0,22.0,1.0,14.0,0.0,1.0,6.0,0.0,7.0,1.0,0.0,0.4,0.1,0.3,0.1,0.0,0.06,0.06,2.7,0.05,0.0,27.0,0.37,2.2,0.0,1.3,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
食物繊維：AOAC2011.25法"
1206,34,こむぎ　［パン類］　食パン　リーンタイプ,0,246,39.2,8.0,3.7,47.5,2.0,520.0,67.0,12.0,16.0,46.0,0.6,0.6,0.1,0.21,0.0,25.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.1,0.3,0.1,0.0,0.1,0.05,1.9,0.04,0.0,28.0,0.54,2.5,0.0,1.3,
1207,35,こむぎ　［パン類］　食パン　リッチタイプ,0,256,39.2,7.8,6.0,45.6,1.7,400.0,88.0,25.0,15.0,62.0,0.6,0.7,0.09,0.18,3.0,23.0,1.0,15.0,54.0,0.0,10.0,1.0,11.0,55.0,0.3,0.3,0.1,0.0,0.0,2.0,0.09,0.09,2.4,0.05,0.1,42.0,0.58,4.1,0.0,1.0,
1205,36,こむぎ　［パン類］　山形食パン　食パン,0,246,39.2,7.8,3.5,47.9,1.8,490.0,76.0,18.0,16.0,51.0,0.6,0.6,0.1,0.21,1.0,24.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.3,0.1,0.0,0.08,0.06,2.1,0.05,0.0,34.0,0.54,2.4,0.0,1.3,別名：イギリスパン
1028,37,こむぎ　［パン類］　コッペパン,0,259,37.0,8.5,3.8,49.1,2.0,520.0,95.0,37.0,24.0,75.0,1.0,0.7,0.12,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.8,0.2,0.0,0.08,0.08,2.2,0.04,0.0,45.0,0.63,0.0,0.0,1.3,
1030,38,こむぎ　［パン類］　乾パン,0,386,5.5,9.5,4.4,78.8,3.1,490.0,160.0,30.0,27.0,95.0,1.2,0.6,0.18,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.7,0.1,0.0,0.14,0.06,2.8,0.06,0.0,20.0,0.41,0.0,0.0,1.2,
1031,39,こむぎ　［パン類］　フランスパン,0,289,30.0,9.4,1.3,57.5,2.7,620.0,110.0,16.0,22.0,72.0,0.9,0.8,0.14,0.39,0.0,29.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.08,0.05,2.9,0.04,0.0,33.0,0.45,1.9,0.0,1.6,
1032,40,こむぎ　［パン類］　ライ麦パン,0,252,35.0,8.4,2.2,52.7,5.6,470.0,190.0,16.0,40.0,130.0,1.4,1.3,0.18,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,0.1,0.0,0.16,0.06,2.7,0.09,0.0,34.0,0.46,0.0,0.0,1.2,主原料配合： ライ麦粉 50 %
1208,41,こむぎ　［パン類］　全粒粉パン,0,251,39.2,7.9,5.7,45.5,4.5,410.0,140.0,14.0,51.0,120.0,1.3,0.4,0.18,1.35,0.0,27.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.5,0.2,0.0,0.17,0.07,3.7,0.13,0.0,49.0,0.67,5.4,0.0,1.0,
1033,42,こむぎ　［パン類］　ぶどうパン,0,263,35.7,8.2,3.5,51.1,2.2,400.0,210.0,32.0,23.0,86.0,0.9,0.6,0.15,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4,0.1,0.4,0.2,0.0,0.11,0.05,2.8,0.07,0.0,33.0,0.42,0.0,0.0,1.0,
1034,43,こむぎ　［パン類］　ロールパン,0,309,30.7,10.1,9.0,48.6,2.0,490.0,110.0,44.0,22.0,97.0,0.7,0.8,0.12,0.29,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,1.0,0.1,0.5,0.1,0.7,0.2,0.0,0.1,0.06,3.1,0.03,0.0,38.0,0.61,0.0,0.0,1.2,
1209,44,こむぎ　［パン類］　クロワッサン　レギュラータイプ,0,406,20.0,6.5,20.4,51.5,1.9,530.0,110.0,27.0,14.0,65.0,0.4,0.5,0.08,0.26,3.0,5.0,0.0,6.0,34.0,0.0,38.0,0.0,38.0,37.0,1.4,2.6,0.2,4.8,1.0,7.0,0.11,0.09,2.2,0.05,0.1,46.0,0.42,3.9,0.0,1.4,
1035,45,こむぎ　［パン類］　クロワッサン　リッチタイプ,0,438,20.0,7.9,26.8,43.9,1.8,470.0,90.0,21.0,17.0,67.0,0.6,0.6,0.1,0.29,0.0,0.0,0.0,0.0,0.0,5.0,66.0,0.0,69.0,6.0,0.1,1.9,0.2,5.3,1.2,0.0,0.08,0.03,2.6,0.03,0.0,33.0,0.44,0.0,0.0,1.2,
1210,46,こむぎ　［パン類］　くるみパン,0,292,39.2,8.2,12.6,38.7,2.4,310.0,150.0,35.0,33.0,88.0,0.8,0.9,0.23,0.61,2.0,18.0,1.0,12.0,15.0,0.0,3.0,0.0,6.0,16.0,0.1,0.4,0.1,3.3,0.4,2.0,0.11,0.09,2.5,0.11,0.0,45.0,0.55,2.9,0.0,0.8,
1036,47,こむぎ　［パン類］　イングリッシュマフィン,0,224,46.0,8.1,3.6,40.8,1.2,480.0,84.0,53.0,19.0,96.0,0.9,0.8,0.12,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.15,0.08,2.8,0.05,0.0,23.0,0.32,0.0,0.0,1.2,
1037,48,こむぎ　［パン類］　ナン,0,257,37.2,10.3,3.4,47.6,2.0,530.0,97.0,11.0,22.0,77.0,0.8,0.7,0.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.7,0.0,0.0,0.13,0.06,3.4,0.05,0.0,36.0,0.55,0.0,0.0,1.3,
1148,49,こむぎ　［パン類］　ベーグル,0,270,32.3,9.6,2.0,54.6,2.5,460.0,97.0,24.0,24.0,81.0,1.3,0.7,0.11,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.19,0.08,3.7,0.06,0.0,47.0,0.28,0.0,0.0,1.2,
1038,50,こむぎ　［うどん・そうめん類］　うどん　生,0,249,33.5,6.1,0.6,56.8,3.6,1000.0,90.0,18.0,13.0,49.0,0.3,0.3,0.08,0.39,2.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.09,0.03,1.7,0.03,0.0,5.0,0.36,0.8,0.0,2.5,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
1039,51,こむぎ　［うどん・そうめん類］　うどん　ゆで,0,95,75.0,2.6,0.4,21.6,1.3,120.0,9.0,6.0,6.0,18.0,0.2,0.1,0.04,0.12,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.02,0.01,0.7,0.01,0.0,2.0,0.13,0.3,0.0,0.3,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
1186,52,こむぎ　［うどん・そうめん類］　うどん　半生うどん,0,296,23.8,7.8,3.4,62.5,4.1,1200.0,98.0,22.0,15.0,64.0,0.6,0.3,0.09,0.45,2.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.03,2.1,0.03,0.0,6.0,0.41,0.9,0.0,3.0,食物繊維：AOAC2011.25法
1041,53,こむぎ　［うどん・そうめん類］　干しうどん　乾,0,333,13.5,8.5,1.1,71.9,2.4,1700.0,130.0,17.0,19.0,70.0,0.6,0.4,0.11,0.5,0.0,10.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.08,0.02,2.5,0.04,0.0,9.0,0.45,1.3,0.0,4.3,
1042,54,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,0,117,70.0,3.1,0.5,25.8,0.7,210.0,14.0,7.0,4.0,24.0,0.2,0.1,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.02,0.01,0.8,0.01,0.0,2.0,0.14,0.0,0.0,0.5,
1043,55,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,0,333,12.5,9.5,1.1,72.7,2.5,1500.0,120.0,17.0,22.0,70.0,0.6,0.4,0.12,0.44,0.0,16.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.08,0.02,2.8,0.03,0.0,8.0,0.7,1.3,0.0,3.8,
1044,56,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,0,114,70.0,3.5,0.4,25.8,0.9,85.0,5.0,6.0,5.0,24.0,0.2,0.2,0.05,0.12,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.02,0.01,0.9,0.0,0.0,2.0,0.25,0.4,0.0,0.2,
1045,57,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,0,312,14.0,9.3,1.5,68.9,1.8,2300.0,110.0,20.0,23.0,70.0,0.6,0.4,0.14,0.43,1.0,22.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.06,0.02,2.7,0.03,0.0,10.0,0.52,1.1,0.0,5.8,
1046,58,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,0,119,70.0,3.5,0.6,25.5,1.0,130.0,5.0,6.0,4.0,23.0,0.2,0.1,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.9,0.0,0.0,2.0,0.16,0.0,0.0,0.3,
1047,59,こむぎ　［中華めん類］　中華めん　生,0,249,33.0,8.6,1.2,55.7,5.4,410.0,350.0,21.0,13.0,66.0,0.5,0.4,0.09,0.35,0.0,33.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.02,0.02,2.3,0.02,0.0,8.0,0.55,1.0,0.0,1.0,食物繊維：AOAC2011.25法
1048,60,こむぎ　［中華めん類］　中華めん　ゆで,0,133,65.0,4.9,0.6,29.2,2.8,70.0,60.0,20.0,7.0,29.0,0.3,0.2,0.05,0.18,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.01,0.01,1.2,0.0,0.0,3.0,0.25,0.5,0.0,0.2,食物繊維：AOAC2011.25法
1187,61,こむぎ　［中華めん類］　半生中華めん　,0,305,23.7,9.9,4.0,61.2,6.2,470.0,430.0,21.0,15.0,72.0,0.7,0.4,0.1,0.4,1.0,35.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.07,0.03,2.6,0.02,0.0,9.0,0.63,1.3,0.0,1.2,食物繊維：AOAC2011.25法
1049,62,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,0,162,57.4,4.9,1.7,35.6,3.1,110.0,80.0,10.0,9.0,40.0,0.4,0.2,0.06,0.23,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.16,1.4,0.02,0.0,4.0,0.19,0.7,0.0,0.3,食物繊維：AOAC2011.25法
